trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
5000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
6000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
7000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
8000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
9000,0.9,1.8880000000000001,13.216121064820799,0.0,94.80000000000001,0.0,0.0,0.0,0.02,983.37
10000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
